name,year,pct
Boston Bruins,1990,0.55
Buffalo Sabres,1990,0.388
Calgary Flames,1990,0.575
Chicago Blackhawks,1990,0.613
Detroit Red Wings,1990,0.425
Edmonton Oilers,1990,0.463
Hartford Whalers,1990,0.388
Los Angeles Kings,1990,0.575
Minnesota North Stars,1990,0.338
Montreal Canadiens,1990,0.487
New Jersey Devils,1990,0.4
New York Islanders,1990,0.312
New York Rangers,1990,0.45
Philadelphia Flyers,1990,0.412
Pittsburgh Penguins,1990,0.512
Quebec Nordiques,1990,0.2
St. Louis Blues,1990,0.588
Toronto Maple Leafs,1990,0.287
Vancouver Canucks,1990,0.35
Washington Capitals,1990,0.463
Winnipeg Jets,1990,0.325
Boston Bruins,1991,0.45
Buffalo Sabres,1991,0.388
Calgary Flames,1991,0.388
Chicago Blackhawks,1991,0.45
Detroit Red Wings,1991,0.537
Edmonton Oilers,1991,0.45
Hartford Whalers,1991,0.325
Los Angeles Kings,1991,0.438
Minnesota North Stars,1991,0.4
Montreal Canadiens,1991,0.512
New Jersey Devils,1991,0.475
New York Islanders,1991,0.425
New York Rangers,1991,0.625
Philadelphia Flyers,1991,0.4
Pittsburgh Penguins,1991,0.487
Quebec Nordiques,1991,0.25
San Jose Sharks,1991,0.212
St. Louis Blues,1991,0.45
Toronto Maple Leafs,1991,0.375
Vancouver Canucks,1991,0.525
Washington Capitals,1991,0.562
Winnipeg Jets,1991,0.412
Boston Bruins,1992,0.607
Buffalo Sabres,1992,0.452
Calgary Flames,1992,0.512
Chicago Blackhawks,1992,0.56
Detroit Red Wings,1992,0.56
Edmonton Oilers,1992,0.31
Hartford Whalers,1992,0.31
Los Angeles Kings,1992,0.464
Minnesota North Stars,1992,0.429
Montreal Canadiens,1992,0.571
New Jersey Devils,1992,0.476
New York Islanders,1992,0.476
New York Rangers,1992,0.405
Ottawa Senators,1992,0.119
Philadelphia Flyers,1992,0.429
Pittsburgh Penguins,1992,0.667
Quebec Nordiques,1992,0.56
San Jose Sharks,1992,0.131
St. Louis Blues,1992,0.44
Tampa Bay Lightning,1992,0.274
Toronto Maple Leafs,1992,0.524
Vancouver Canucks,1992,0.548
Washington Capitals,1992,0.512
Winnipeg Jets,1992,0.476
Mighty Ducks of Anaheim,1993,0.393
Boston Bruins,1993,0.5
Buffalo Sabres,1993,0.512
Calgary Flames,1993,0.5
Chicago Blackhawks,1993,0.464
Dallas Stars,1993,0.5
Detroit Red Wings,1993,0.548
Edmonton Oilers,1993,0.298
Florida Panthers,1993,0.393
Hartford Whalers,1993,0.321
Los Angeles Kings,1993,0.321
Montreal Canadiens,1993,0.488
New Jersey Devils,1993,0.56
New York Islanders,1993,0.429
New York Rangers,1993,0.619
Ottawa Senators,1993,0.167
Philadelphia Flyers,1993,0.417
Pittsburgh Penguins,1993,0.524
Quebec Nordiques,1993,0.405
San Jose Sharks,1993,0.393
St. Louis Blues,1993,0.476
Tampa Bay Lightning,1993,0.357
Toronto Maple Leafs,1993,0.512
Vancouver Canucks,1993,0.488
Washington Capitals,1993,0.464
Winnipeg Jets,1993,0.286
Mighty Ducks of Anaheim,1994,0.333
Boston Bruins,1994,0.562
Buffalo Sabres,1994,0.458
Calgary Flames,1994,0.5
Chicago Blackhawks,1994,0.5
Dallas Stars,1994,0.354
Detroit Red Wings,1994,0.688
Edmonton Oilers,1994,0.354
Florida Panthers,1994,0.417
Hartford Whalers,1994,0.396
Los Angeles Kings,1994,0.333
Montreal Canadiens,1994,0.375
New Jersey Devils,1994,0.458
New York Islanders,1994,0.312
New York Rangers,1994,0.458
Ottawa Senators,1994,0.188
Philadelphia Flyers,1994,0.583
Pittsburgh Penguins,1994,0.604
Quebec Nordiques,1994,0.625
San Jose Sharks,1994,0.396
St. Louis Blues,1994,0.583
Tampa Bay Lightning,1994,0.354
Toronto Maple Leafs,1994,0.438
Vancouver Canucks,1994,0.375
Washington Capitals,1994,0.458
Winnipeg Jets,1994,0.333
Mighty Ducks of Anaheim,1995,0.427
Boston Bruins,1995,0.488
Buffalo Sabres,1995,0.402
Calgary Flames,1995,0.415
Chicago Blackhawks,1995,0.488
Colorado Avalanche,1995,0.573
Dallas Stars,1995,0.317
Detroit Red Wings,1995,0.756
Edmonton Oilers,1995,0.366
Florida Panthers,1995,0.5
Hartford Whalers,1995,0.415
Los Angeles Kings,1995,0.293
Montreal Canadiens,1995,0.488
New Jersey Devils,1995,0.451
New York Islanders,1995,0.268
New York Rangers,1995,0.5
Ottawa Senators,1995,0.22
Philadelphia Flyers,1995,0.549
Pittsburgh Penguins,1995,0.598
San Jose Sharks,1995,0.244
St. Louis Blues,1995,0.39
Tampa Bay Lightning,1995,0.463
Toronto Maple Leafs,1995,0.415
Vancouver Canucks,1995,0.39
Washington Capitals,1995,0.476
Winnipeg Jets,1995,0.439
Mighty Ducks of Anaheim,1996,0.439
Boston Bruins,1996,0.317
Buffalo Sabres,1996,0.488
Calgary Flames,1996,0.39
Chicago Blackhawks,1996,0.415
Colorado Avalanche,1996,0.598
Dallas Stars,1996,0.585
Detroit Red Wings,1996,0.463
Edmonton Oilers,1996,0.439
Florida Panthers,1996,0.427
Hartford Whalers,1996,0.39
Los Angeles Kings,1996,0.341
Montreal Canadiens,1996,0.378
New Jersey Devils,1996,0.549
New York Islanders,1996,0.354
New York Rangers,1996,0.463
Ottawa Senators,1996,0.378
Philadelphia Flyers,1996,0.549
Phoenix Coyotes,1996,0.463
Pittsburgh Penguins,1996,0.463
San Jose Sharks,1996,0.329
St. Louis Blues,1996,0.439
Tampa Bay Lightning,1996,0.39
Toronto Maple Leafs,1996,0.366
Vancouver Canucks,1996,0.427
Washington Capitals,1996,0.402
Mighty Ducks of Anaheim,1997,0.317
Boston Bruins,1997,0.476
Buffalo Sabres,1997,0.439
Calgary Flames,1997,0.317
Carolina Hurricanes,1997,0.402
Chicago Blackhawks,1997,0.366
Colorado Avalanche,1997,0.476
Dallas Stars,1997,0.598
Detroit Red Wings,1997,0.537
Edmonton Oilers,1997,0.427
Florida Panthers,1997,0.293
Los Angeles Kings,1997,0.463
Montreal Canadiens,1997,0.451
New Jersey Devils,1997,0.585
New York Islanders,1997,0.366
New York Rangers,1997,0.305
Ottawa Senators,1997,0.415
Philadelphia Flyers,1997,0.512
Phoenix Coyotes,1997,0.427
Pittsburgh Penguins,1997,0.488
San Jose Sharks,1997,0.415
St. Louis Blues,1997,0.549
Tampa Bay Lightning,1997,0.207
Toronto Maple Leafs,1997,0.366
Vancouver Canucks,1997,0.305
Washington Capitals,1997,0.488
Mighty Ducks of Anaheim,1998,0.427
Boston Bruins,1998,0.476
Buffalo Sabres,1998,0.451
Calgary Flames,1998,0.366
Carolina Hurricanes,1998,0.415
Chicago Blackhawks,1998,0.354
Colorado Avalanche,1998,0.537
Dallas Stars,1998,0.622
Detroit Red Wings,1998,0.524
Edmonton Oilers,1998,0.402
Florida Panthers,1998,0.366
Los Angeles Kings,1998,0.39
Montreal Canadiens,1998,0.39
Nashville Predators,1998,0.341
New Jersey Devils,1998,0.573
New York Islanders,1998,0.293
New York Rangers,1998,0.402
Ottawa Senators,1998,0.537
Philadelphia Flyers,1998,0.451
Phoenix Coyotes,1998,0.476
Pittsburgh Penguins,1998,0.463
San Jose Sharks,1998,0.378
St. Louis Blues,1998,0.451
Tampa Bay Lightning,1998,0.232
Toronto Maple Leafs,1998,0.549
Vancouver Canucks,1998,0.28
Washington Capitals,1998,0.378
Mighty Ducks of Anaheim,1999,0.415
Atlanta Thrashers,1999,0.171
Boston Bruins,1999,0.293
Buffalo Sabres,1999,0.427
Calgary Flames,1999,0.378
Carolina Hurricanes,1999,0.451
Chicago Blackhawks,1999,0.402
Colorado Avalanche,1999,0.512
Dallas Stars,1999,0.524
Detroit Red Wings,1999,0.585
Edmonton Oilers,1999,0.39
Florida Panthers,1999,0.524
Los Angeles Kings,1999,0.476
Montreal Canadiens,1999,0.427
Nashville Predators,1999,0.341
New Jersey Devils,1999,0.549
New York Islanders,1999,0.293
New York Rangers,1999,0.354
Ottawa Senators,1999,0.5
Philadelphia Flyers,1999,0.549
Phoenix Coyotes,1999,0.476
Pittsburgh Penguins,1999,0.451
San Jose Sharks,1999,0.427
St. Louis Blues,1999,0.622
Tampa Bay Lightning,1999,0.232
Toronto Maple Leafs,1999,0.549
